home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
Austria,Scotland,29,23,15,6,43,25,0.5172413793103449,0.2608695652173913,1.4827586206896552,1.0869565217391304,1
Brazil,Mexico,108,54,75,22,225,58,0.6944444444444444,0.4074074074074074,2.083333333333333,1.0740740740740742,1
Yugoslavia,France,37,61,21,35,60,108,0.5675675675675675,0.5737704918032787,1.6216216216216215,1.7704918032786885,1
Germany FR,Turkey,62,10,37,6,131,20,0.5967741935483871,0.6,2.1129032258064515,2.0,1
Hungary,Korea Republic,32,31,16,11,87,31,0.5,0.3548387096774194,2.71875,1.0,1
England,Belgium,62,43,35,21,79,54,0.5645161290322581,0.4883720930232558,1.2741935483870968,1.255813953488372,0
Switzerland,Italy,34,83,14,52,45,128,0.4117647058823529,0.6265060240963856,1.3235294117647058,1.5421686746987953,1
Uruguay,Scotland,52,23,25,6,80,25,0.4807692307692308,0.2608695652173913,1.5384615384615383,1.0869565217391304,1
Austria,Czechoslovakia,29,30,15,15,43,44,0.5172413793103449,0.5,1.4827586206896552,1.4666666666666666,1
France,Mexico,61,54,35,22,108,58,0.5737704918032787,0.4074074074074074,1.7704918032786885,1.0740740740740742,1
Brazil,Yugoslavia,108,37,75,21,225,60,0.6944444444444444,0.5675675675675675,2.083333333333333,1.6216216216216215,0
Hungary,Germany FR,32,62,16,37,87,131,0.5,0.5967741935483871,2.71875,2.1129032258064515,1
Turkey,Korea Republic,10,31,6,11,20,31,0.6,0.3548387096774194,2.0,1.0,1
England,Switzerland,62,34,35,14,79,45,0.5645161290322581,0.4117647058823529,1.2741935483870968,1.3235294117647058,1
Italy,Belgium,83,43,52,21,128,54,0.6265060240963856,0.4883720930232558,1.5421686746987953,1.255813953488372,1
Germany FR,Turkey,62,10,37,6,131,20,0.5967741935483871,0.6,2.1129032258064515,2.0,1
Switzerland,Italy,34,83,14,52,45,128,0.4117647058823529,0.6265060240963856,1.3235294117647058,1.5421686746987953,1
Uruguay,England,52,62,25,35,80,79,0.4807692307692308,0.5645161290322581,1.5384615384615383,1.2741935483870968,1
Austria,Switzerland,29,34,15,14,43,45,0.5172413793103449,0.4117647058823529,1.4827586206896552,1.3235294117647058,1
Germany FR,Yugoslavia,62,37,37,21,131,60,0.5967741935483871,0.5675675675675675,2.1129032258064515,1.6216216216216215,1
Hungary,Brazil,32,108,16,75,87,225,0.5,0.6944444444444444,2.71875,2.083333333333333,1
Germany FR,Austria,62,29,37,15,131,43,0.5967741935483871,0.5172413793103449,2.1129032258064515,1.4827586206896552,1
Hungary,Uruguay,32,52,16,25,87,80,0.5,0.4807692307692308,2.71875,1.5384615384615383,1
Austria,Uruguay,29,52,15,25,43,80,0.5172413793103449,0.4807692307692308,1.4827586206896552,1.5384615384615383,1
Germany FR,Hungary,62,32,37,16,131,87,0.5967741935483871,0.5,2.1129032258064515,2.71875,1
Sweden,Mexico,46,54,22,22,74,58,0.4782608695652174,0.4074074074074074,1.608695652173913,1.0740740740740742,1
Soviet Union,England,31,62,18,35,53,79,0.5806451612903226,0.5645161290322581,1.7096774193548387,1.2741935483870968,0
Argentina,Germany FR,81,62,54,37,133,131,0.6666666666666666,0.5967741935483871,1.6419753086419753,2.1129032258064515,0
Hungary,Wales,32,5,16,4,87,4,0.5,0.8,2.71875,0.8,0
France,Paraguay,61,27,35,11,108,30,0.5737704918032787,0.4074074074074074,1.7704918032786885,1.1111111111111112,1
Yugoslavia,Scotland,37,23,21,6,60,25,0.5675675675675675,0.2608695652173913,1.6216216216216215,1.0869565217391304,0
Brazil,Austria,108,29,75,15,225,43,0.6944444444444444,0.5172413793103449,2.083333333333333,1.4827586206896552,1
Northern Ireland,Czechoslovakia,13,30,8,15,13,44,0.6153846153846154,0.5,1.0,1.4666666666666666,1
Brazil,England,108,62,75,35,225,79,0.6944444444444444,0.5645161290322581,2.083333333333333,1.2741935483870968,0
Mexico,Wales,54,5,22,4,58,4,0.4074074074074074,0.8,1.0740740740740742,0.8,0
Paraguay,Scotland,27,23,11,6,30,25,0.4074074074074074,0.2608695652173913,1.1111111111111112,1.0869565217391304,1
Yugoslavia,France,37,61,21,35,60,108,0.5675675675675675,0.5737704918032787,1.6216216216216215,1.7704918032786885,1
Soviet Union,Austria,31,29,18,15,53,43,0.5806451612903226,0.5172413793103449,1.7096774193548387,1.4827586206896552,1
Germany FR,Czechoslovakia,62,30,37,15,131,44,0.5967741935483871,0.5,2.1129032258064515,1.4666666666666666,0
Argentina,Northern Ireland,81,13,54,8,133,13,0.6666666666666666,0.6153846153846154,1.6419753086419753,1.0,1
Sweden,Hungary,46,32,22,16,74,87,0.4782608695652174,0.5,1.608695652173913,2.71875,1
Sweden,Wales,46,5,22,4,74,4,0.4782608695652174,0.8,1.608695652173913,0.8,0
Brazil,Soviet Union,108,31,75,18,225,53,0.6944444444444444,0.5806451612903226,2.083333333333333,1.7096774193548387,1
Germany FR,Northern Ireland,62,13,37,8,131,13,0.5967741935483871,0.6153846153846154,2.1129032258064515,1.0,0
Hungary,Mexico,32,54,16,22,87,58,0.5,0.4074074074074074,2.71875,1.0740740740740742,1
Paraguay,Yugoslavia,27,37,11,21,30,60,0.4074074074074074,0.5675675675675675,1.1111111111111112,1.6216216216216215,0
France,Scotland,61,23,35,6,108,25,0.5737704918032787,0.2608695652173913,1.7704918032786885,1.0869565217391304,1
England,Austria,62,29,35,15,79,43,0.5645161290322581,0.5172413793103449,1.2741935483870968,1.4827586206896552,0
Czechoslovakia,Argentina,30,81,15,54,44,133,0.5,0.6666666666666666,1.4666666666666666,1.6419753086419753,1
Soviet Union,England,31,62,18,35,53,79,0.5806451612903226,0.5645161290322581,1.7096774193548387,1.2741935483870968,1
Northern Ireland,Czechoslovakia,13,30,8,15,13,44,0.6153846153846154,0.5,1.0,1.4666666666666666,1
Wales,Hungary,5,32,4,16,4,87,0.8,0.5,0.8,2.71875,1
Brazil,Wales,108,5,75,4,225,4,0.6944444444444444,0.8,2.083333333333333,0.8,1
Germany FR,Yugoslavia,62,37,37,21,131,60,0.5967741935483871,0.5675675675675675,2.1129032258064515,1.6216216216216215,1
Sweden,Soviet Union,46,31,22,18,74,53,0.4782608695652174,0.5806451612903226,1.608695652173913,1.7096774193548387,1
France,Northern Ireland,61,13,35,8,108,13,0.5737704918032787,0.6153846153846154,1.7704918032786885,1.0,1
Sweden,Germany FR,46,62,22,37,74,131,0.4782608695652174,0.5967741935483871,1.608695652173913,2.1129032258064515,1
Brazil,France,108,61,75,35,225,108,0.6944444444444444,0.5737704918032787,2.083333333333333,1.7704918032786885,1
France,Germany FR,61,62,35,37,108,131,0.5737704918032787,0.5967741935483871,1.7704918032786885,2.1129032258064515,1
Brazil,Sweden,108,46,75,22,225,74,0.6944444444444444,0.4782608695652174,2.083333333333333,1.608695652173913,1
Uruguay,Colombia,52,20,25,10,80,29,0.4807692307692308,0.5,1.5384615384615383,1.45,1
Brazil,Mexico,108,54,75,22,225,58,0.6944444444444444,0.4074074074074074,2.083333333333333,1.0740740740740742,1
Argentina,Bulgaria,81,26,54,8,133,22,0.6666666666666666,0.3076923076923077,1.6419753086419753,0.8461538461538461,1
Chile,Switzerland,34,34,16,14,41,45,0.4705882352941176,0.4117647058823529,1.2058823529411764,1.3235294117647058,1
Soviet Union,Yugoslavia,31,37,18,21,53,60,0.5806451612903226,0.5675675675675675,1.7096774193548387,1.6216216216216215,1
Czechoslovakia,Spain,30,59,15,34,44,92,0.5,0.576271186440678,1.4666666666666666,1.5593220338983051,1
Hungary,England,32,62,16,35,87,79,0.5,0.5645161290322581,2.71875,1.2741935483870968,1
Germany FR,Italy,62,83,37,52,131,128,0.5967741935483871,0.6265060240963856,2.1129032258064515,1.5421686746987953,0
Yugoslavia,Uruguay,37,52,21,25,60,80,0.5675675675675675,0.4807692307692308,1.6216216216216215,1.5384615384615383,1
Brazil,Czechoslovakia,108,30,75,15,225,44,0.6944444444444444,0.5,2.083333333333333,1.4666666666666666,0
England,Argentina,62,81,35,54,79,133,0.5645161290322581,0.6666666666666666,1.2741935483870968,1.6419753086419753,1
Chile,Italy,34,83,16,52,41,128,0.4705882352941176,0.6265060240963856,1.2058823529411764,1.5421686746987953,1
Soviet Union,Colombia,31,20,18,10,53,29,0.5806451612903226,0.5,1.7096774193548387,1.45,0
Spain,Mexico,59,54,34,22,92,58,0.576271186440678,0.4074074074074074,1.5593220338983051,1.0740740740740742,1
Hungary,Bulgaria,32,26,16,8,87,22,0.5,0.3076923076923077,2.71875,0.8461538461538461,1
Germany FR,Switzerland,62,34,37,14,131,45,0.5967741935483871,0.4117647058823529,2.1129032258064515,1.3235294117647058,1
Soviet Union,Uruguay,31,52,18,25,53,80,0.5806451612903226,0.4807692307692308,1.7096774193548387,1.5384615384615383,1
Brazil,Spain,108,59,75,34,225,92,0.6944444444444444,0.576271186440678,2.083333333333333,1.5593220338983051,1
Hungary,Argentina,32,81,16,54,87,133,0.5,0.6666666666666666,2.71875,1.6419753086419753,0
Germany FR,Chile,62,34,37,16,131,41,0.5967741935483871,0.4705882352941176,2.1129032258064515,1.2058823529411764,1
Yugoslavia,Colombia,37,20,21,10,60,29,0.5675675675675675,0.5,1.6216216216216215,1.45,1
Mexico,Czechoslovakia,54,30,22,15,58,44,0.4074074074074074,0.5,1.0740740740740742,1.4666666666666666,1
England,Bulgaria,62,26,35,8,79,22,0.5645161290322581,0.3076923076923077,1.2741935483870968,0.8461538461538461,0
Italy,Switzerland,83,34,52,14,128,45,0.6265060240963856,0.4117647058823529,1.5421686746987953,1.3235294117647058,1
Chile,Soviet Union,34,31,16,18,41,53,0.4705882352941176,0.5806451612903226,1.2058823529411764,1.7096774193548387,1
Brazil,England,108,62,75,35,225,79,0.6944444444444444,0.5645161290322581,2.083333333333333,1.2741935483870968,1
Czechoslovakia,Hungary,30,32,15,16,44,87,0.5,0.5,1.4666666666666666,2.71875,1
Yugoslavia,Germany FR,37,62,21,37,60,131,0.5675675675675675,0.5967741935483871,1.6216216216216215,2.1129032258064515,1
Czechoslovakia,Yugoslavia,30,37,15,21,44,60,0.5,0.5675675675675675,1.4666666666666666,1.6216216216216215,1
Brazil,Chile,108,34,75,16,225,41,0.6944444444444444,0.4705882352941176,2.083333333333333,1.2058823529411764,1
Chile,Yugoslavia,34,37,16,21,41,60,0.4705882352941176,0.5675675675675675,1.2058823529411764,1.6216216216216215,1
Brazil,Czechoslovakia,108,30,75,15,225,44,0.6944444444444444,0.5,2.083333333333333,1.4666666666666666,1
England,Uruguay,62,52,35,25,79,80,0.5645161290322581,0.4807692307692308,1.2741935483870968,1.5384615384615383,0
Germany FR,Switzerland,62,34,37,14,131,45,0.5967741935483871,0.4117647058823529,2.1129032258064515,1.3235294117647058,1
Brazil,Bulgaria,108,26,75,8,225,22,0.6944444444444444,0.3076923076923077,2.083333333333333,0.8461538461538461,1
Soviet Union,Korea DPR,31,7,18,1,53,6,0.5806451612903226,0.1428571428571428,1.7096774193548387,0.8571428571428571,1
France,Mexico,61,54,35,22,108,58,0.5737704918032787,0.4074074074074074,1.7704918032786885,1.0740740740740742,0
Portugal,Hungary,26,32,16,16,43,87,0.6153846153846154,0.5,1.6538461538461535,2.71875,1
Argentina,Spain,81,59,54,34,133,92,0.6666666666666666,0.576271186440678,1.6419753086419753,1.5593220338983051,1
Italy,Chile,83,34,52,16,128,41,0.6265060240963856,0.4705882352941176,1.5421686746987953,1.2058823529411764,1
Uruguay,France,52,61,25,35,80,108,0.4807692307692308,0.5737704918032787,1.5384615384615383,1.7704918032786885,1
Spain,Switzerland,59,34,34,14,92,45,0.576271186440678,0.4117647058823529,1.5593220338983051,1.3235294117647058,1
Hungary,Brazil,32,108,16,75,87,225,0.5,0.6944444444444444,2.71875,2.083333333333333,1
Korea DPR,Chile,7,34,1,16,6,41,0.1428571428571428,0.4705882352941176,0.8571428571428571,1.2058823529411764,0
Portugal,Bulgaria,26,26,16,8,43,22,0.6153846153846154,0.3076923076923077,1.6538461538461535,0.8461538461538461,1
Germany FR,Argentina,62,81,37,54,131,133,0.5967741935483871,0.6666666666666666,2.1129032258064515,1.6419753086419753,0
Soviet Union,Italy,31,83,18,52,53,128,0.5806451612903226,0.6265060240963856,1.7096774193548387,1.5421686746987953,1
England,Mexico,62,54,35,22,79,58,0.5645161290322581,0.4074074074074074,1.2741935483870968,1.0740740740740742,1
Uruguay,Mexico,52,54,25,22,80,58,0.4807692307692308,0.4074074074074074,1.5384615384615383,1.0740740740740742,0
Argentina,Switzerland,81,34,54,14,133,45,0.6666666666666666,0.4117647058823529,1.6419753086419753,1.3235294117647058,1
Portugal,Brazil,26,108,16,75,43,225,0.6153846153846154,0.6944444444444444,1.6538461538461535,2.083333333333333,1
Korea DPR,Italy,7,83,1,52,6,128,0.1428571428571428,0.6265060240963856,0.8571428571428571,1.5421686746987953,1
